# nb. dgammadot0 x1 x2 x3 length width thickness strike dip
178 10000000 -40 140 10 20 13.6781 20 0 90
179 10000000 -40 160 10 20 14.1919 20 0 90
180 10000000 -40 180 10 20 14.613 20 0 90
181 10000000 -20 -200 10 20 16.0161 20 0 90
182 10000000 -20 -180 10 20 17.7543 20 0 90
183 10000000 -20 -160 10 20 19.4516 20 0 90
184 10000000 -20 -140 10 20 20.9809 20 0 90
185 10000000 -20 -120 10 20 22.6575 20 0 90
186 10000000 -20 -100 10 20 23.93 20 0 90
187 10000000 -20 -80 10 20 23.5754 20 0 90
188 10000000 -20 -60 10 20 21.5001 20 0 90
189 10000000 -20 -40 10 20 18.6562 20 0 90
190 10000000 -20 -20 10 20 16.0279 20 0 90
191 10000000 -20 0 10 20 14.1232 20 0 90
192 10000000 -20 20 10 20 12.9629 20 0 90
193 10000000 -20 40 10 20 12.3465 20 0 90
194 10000000 -20 60 10 20 12.1536 20 0 90
195 10000000 -20 80 10 20 12.3125 20 0 90
196 10000000 -20 100 10 20 12.7941 20 0 90
197 10000000 -20 120 10 20 13.4317 20 0 90
198 10000000 -20 140 10 20 13.9916 20 0 90
199 10000000 -20 160 10 20 14.4369 20 0 90
200 10000000 -20 180 10 20 14.8449 20 0 90
201 10000000 0 -200 10 20 16.4402 20 0 90
202 10000000 0 -180 10 20 18.1928 20 0 90
203 10000000 0 -160 10 20 19.9647 20 0 90
204 10000000 0 -140 10 20 21.6981 20 0 90
205 10000000 0 -120 10 20 24.1004 20 0 90
206 10000000 0 -100 10 20 26.0216 20 0 90
207 10000000 0 -80 10 20 25.7308 20 0 90
208 10000000 0 -60 10 20 23.2535 20 0 90
209 10000000 0 -40 10 20 19.5974 20 0 90
210 10000000 0 -20 10 20 15.9356 20 0 90
211 10000000 0 0 10 20 13.4349 20 0 90
212 10000000 0 20 10 20 12.3472 20 0 90
213 10000000 0 40 10 20 12.082 20 0 90
214 10000000 0 60 10 20 12.1661 20 0 90
215 10000000 0 80 10 20 12.4666 20 0 90
216 10000000 0 100 10 20 13.0674 20 0 90
217 10000000 0 120 10 20 13.8128 20 0 90
218 10000000 0 140 10 20 14.3401 20 0 90
219 10000000 0 160 10 20 14.68 20 0 90
220 10000000 0 180 10 20 15.0133 20 0 90
221 10000000 20 -200 10 20 16.3192 20 0 90
222 10000000 20 -180 10 20 18.3446 20 0 90
223 10000000 20 -160 10 20 20.5733 20 0 90
224 10000000 20 -140 10 20 22.759 20 0 90
225 10000000 20 -120 10 20 24.7748 20 0 90
226 10000000 20 -100 10 20 25.4066 20 0 90
227 10000000 20 -80 10 20 24.2368 20 0 90
228 10000000 20 -60 10 20 21.947 20 0 90
229 10000000 20 -40 10 20 18.9059 20 0 90
230 10000000 20 -20 10 20 15.4646 20 0 90
