# nb. dgammadot0 x1 x2 x3 length width thickness strike dip
116 20000 -100 100 8.75538 20 12.5 20 0 90
117 20000 -100 120 9.53374 20 12.5 20 0 90
118 20000 -100 140 10.0792 20 12.5 20 0 90
119 20000 -100 160 10.5026 20 12.5 20 0 90
120 20000 -100 180 11.0663 20 12.5 20 0 90
121 20000 -80 -200 10.9942 20 12.5 20 0 90
122 20000 -80 -180 12.7562 20 12.5 20 0 90
123 20000 -80 -160 14.5155 20 12.5 20 0 90
124 20000 -80 -140 16.0385 20 12.5 20 0 90
125 20000 -80 -120 17.0568 20 12.5 20 0 90
126 20000 -80 -100 17.3691 20 12.5 20 0 90
127 20000 -80 -80 16.8887 20 12.5 20 0 90
128 20000 -80 -60 15.6461 20 12.5 20 0 90
129 20000 -80 -40 14.2556 20 12.5 20 0 90
130 20000 -80 -20 12.8377 20 12.5 20 0 90
131 20000 -80 0 11.1637 20 12.5 20 0 90
132 20000 -80 20 9.23857 20 12.5 20 0 90
133 20000 -80 40 7.7428 20 12.5 20 0 90
134 20000 -80 60 7.35189 20 12.5 20 0 90
135 20000 -80 80 7.73526 20 12.5 20 0 90
136 20000 -80 100 8.52828 20 12.5 20 0 90
137 20000 -80 120 9.47523 20 12.5 20 0 90
138 20000 -80 140 10.2947 20 12.5 20 0 90
139 20000 -80 160 10.9062 20 12.5 20 0 90
140 20000 -80 180 11.452 20 12.5 20 0 90
141 20000 -60 -200 11.9757 20 12.5 20 0 90
142 20000 -60 -180 13.7669 20 12.5 20 0 90
143 20000 -60 -160 15.5409 20 12.5 20 0 90
144 20000 -60 -140 16.9927 20 12.5 20 0 90
145 20000 -60 -120 17.9749 20 12.5 20 0 90
146 20000 -60 -100 18.2728 20 12.5 20 0 90
147 20000 -60 -80 17.6935 20 12.5 20 0 90
148 20000 -60 -60 16.2657 20 12.5 20 0 90
149 20000 -60 -40 14.5237 20 12.5 20 0 90
150 20000 -60 -20 13.0264 20 12.5 20 0 90
151 20000 -60 0 11.5364 20 12.5 20 0 90
