# name east(km) north(km) veast(m) vnorth(m) vup(m) eastrms(m) northrms(m) uprms(m)
p742 -103.998000 109.445000 -0.000192 -0.007606 -0.002580 0.001596 0.005318 0.003162
p744 -1.302940 36.507500 0.017742 -0.046015 0.006863 0.005039 0.005394 0.005540
pin1 -90.651400 122.435000 -0.002249 -0.008548 -0.005827 0.001720 0.001947 0.001533
pin2 -90.601100 122.435000 -0.000796 -0.012791 -0.017603 0.002031 0.002847 0.003662
potr -102.532000 12.208900 -0.020535 -0.002633 -0.006925 0.001733 0.001758 0.002019
psap -94.088000 145.378000 0.000956 -0.021285 0.010760 0.001107 0.003532 0.003226
raap -133.189000 59.121900 -0.008216 -0.002307 -0.008468 0.001858 0.001636 0.002870
sio5 -164.282000 36.808300 -0.010457 -0.004328 -0.002694 0.001606 0.001171 0.002030
slms -45.743900 87.299800 0.004946 -0.018689 -0.001302 0.007993 0.007257 0.003886
tmap -63.060600 125.845000 0.002357 -0.009226 0.013332 0.002170 0.009415 0.010420
usgc -55.499000 58.141100 -0.002345 -0.017308 0.002723 0.002506 0.003175 0.001703
widc -84.704800 158.238000 -0.000614 -0.004154 -0.028639 0.002440 0.002701 0.008695
wwmt -108.933000 160.405000 0.001835 -0.005631 -0.017278 0.004769 0.004824 0.005339
