anp1 3396.61 1586.06 0.0202673
anp2 3396.61 1586.1 0.0214131
antc 3963.77 -8853.03 0.745392
anto 1660.87 -188.625 0.259113
aoa1 -309.64 184.276 0.246556
aom1 3715.58 -156.847 2.77e-05
aoml 3715.58 -156.848 7.96e-05
apex 44.7455 424.479 0.761042
aqui -640.916 -3596.85 0.713074
areg 5199.52 -6130.65 2.48893
arel -640.916 -3596.85 0.706277
areq 5199.52 -6130.65 2.48895
arex 5199.46 -6130.66 2.49128
argu -187.928 392.771 1.79135
arl5 1742.28 209.529 0.137961
arli -523.126 1751.59 0.0233676
arm1 -314.828 300.183 0.0767098
arm2 -314.84 300.184 0.0767045
aron 2850.2 2282.63 0.200882
arot 2850.2 2282.63 0.200882
arp1 1845.15 -351.796 -0.0211672
arp2 1845.13 -351.8 -0.016467
arp3 1845.16 -351.797 -0.0166599
artu -640.916 -3596.85 0.247566
asc1 -640.916 -3596.85 0.105116
ash1 -90.651 122.435 1.25616
ash2 -90.651 122.435 1.25616
ashm -63.689 425.811 0.88572
ashv 3033.96 940.913 0.659169
asky 1227.76 5561.66 0.687255
aspa -6831.93 -6180.37 0.053661
atl1 2917.4 675.624 0.29478
atw2 -1793.97 3656.31 0.0970688
atwc -1793.95 3656.35 0.0981883
auck -6321.4 -10682.6 0.132706
augl -2133.29 3557.32 0.104014
aus5 1726.33 -81.4123 0.190283
autf 2817.4 -10814.4 0.0718836
av01 -2139.41 3559.58 0.487229
av02 -2139.38 3556.02 0.229805
av03 -2136.82 3561.08 0.360224
av04 -2138.34 3559.46 0.915954
av05 -2137.21 3558.79 1.03681
av06 -3161.11 3561.34 0.463107
av07 -3174.28 3576.28 0.521082
av08 -3175.99 3573.36 0.598421
av09 -3225.48 3575.54 0.105697
av10 -3174.24 3565.16 0.329549
av11 -2133.31 3557.38 0.114918
av12 -3162.76 3573.63 0.40473
av13 -3167.64 3568.41 0.494787
av14 -3167.54 3562.52 0.396353
av15 -3162.1 3554.32 0.457444
av16 -2141.42 3564.65 0.025381
av17 -2136.09 3563.75 0.0294079
av18 -2136.83 3560.97 0.367174
av19 -2137.3 3557.73 0.647423
av20 -2138.47 3557.43 0.542202
av21 -2133.29 3557.32 0.103974
av24 -3070.51 3552.63 0.481744
av25 -3076.76 3548.32 0.651966
av26 -3062.75 3542.63 0.577615
av27 -3076.86 3542.17 0.97792
av29 -3071.19 3533.78 0.97188
av34 -3003.99 3515.95 0.636408
av35 -3029.98 3558.72 0.646954
av36 -3022.29 3539.61 0.648419
av37 -3020.44 3527.78 0.79605
av38 -2999.06 3528.97 0.492316
av39 -3012.26 3537.24 0.797402
av40 -3012.06 3509.9 0.41395
avry -155.056 217.243 0.888895
azcn 670.441 519.023 1.86293
azry -106.536 114.373 1.26571
azu1 -223.583 179.641 0.14473
bago 2625.54 1123.54 0.124468
bahr -640.916 -3596.85 -0.017074
baie 3293.63 3095.31 0.0274686
bake 859.969 3703.44 0.0044993
bako -640.916 -3596.85 0.158123
bald -308.35 586.638 2.74952
bamf -737.625 1844.29 0.0107833
bamo -158.272 876.74 1.79245
ban2 -640.916 -3596.85 0.831887
bar1 -329.506 109.545 0.0147967
barb 7250.9 -1021.97 -0.0385956
barh 3694.48 2620.56 0.0067312
barn 3497.93 2422.75 0.137969
batm -97.1183 431.96 0.736971
bay1 -2913.33 3513.23 0.0504788
bay2 -2913.3 3513.22 0.0505074
bayr 2538.54 1778.38 0.148871
bbdm -414.404 233.903 0.204876
bbid 296.6 1310.16 1.78993
bbry -130.259 194.615 2.05106
bcov -837.641 2048.71 0.0373496
bcwr -360.688 270.015 1.33292
bcyi 145.715 1316.36 2.17339
bdos 7250.9 -1021.97 -0.0385593
bea2 -1353.02 3551.17 0.662446
bea5 2085.14 -29.6773 -0.0130219
beat -107.223 502.519 1.39605
bell -640.916 -3596.85 0.853411
bemt -48.3996 165.817 1.37364
bepk -237.871 374.142 2.47111
bgis -248.055 162.266 0.002795
bhma 3810.18 8.56237 -0.0260536
bhr1 -640.916 -3596.85 -0.0166005
bhr2 -640.916 -3596.85 -0.0165999
bil1 556.505 1533.55 0.873686
bili -2569.97 5799.32 0.456159
bill -146.911 118.546 0.470043
bis1 -1263.31 2858.53 0.0666058
biti -640.916 -3596.85 -0.0074776
bjfs -640.916 -3596.85 0.087469
bkap -57.2958 308.414 0.252029
bkly 3056.59 1248.85 0.6913
bkms -242.056 161.661 0.0110102
bkr1 -333.113 292.911 0.0567702
bkr2 -333.095 292.932 0.0566752
bla1 3153.55 1211.43 0.605699
blkv 3154.38 1211.06 0.60648
blmm 2290.69 844.269 0.100612
blrw 2010.84 1543.01 0.188899
blsa -236.136 143.555 -0.0231576
blwy 468.104 1165.04 2.21563
blyn -582.863 1738.26 0.613259
blyt 71.0933 124.452 0.0859161
bmhl -53.7173 193.592 0.722634
bmry -139.502 161.168 0.787248
bogi -640.916 -3596.85 0.139908
bogo -640.916 -3596.85 0.149607
bogt 5132.43 -2896.42 2.57651
bomg -22.7366 95.5811 -0.0842419
bor1 -640.916 -3596.85 0.124371
bran -258.596 186.544 0.246249
bras -640.916 -3596.85 0.901201
braz 9274.02 -7794.22 1.10601
bree -640.916 -3596.85 0.0843782
brew -340.511 1737.55 0.238604
brft 13254.3 -5175.68 0.0216659
brib -593.941 612.56 0.263168
brig 2595.25 1680.76 0.261326
brip -1740.18 -13440.7 2.11088
brmu 5021.73 1511.78 -0.0116401
brpk -285.362 242.091 1.72912
brst -640.916 -3596.85 0.0658458
