 1  ITUR  -183.7530  -402.4500 0
 2  VDLN  -151.5220  -280.6950 0
 3  URUP   -82.9450  -187.4410 0
 4  KOST   -15.9394   -86.5974 0
 5  KETC    33.4954   -38.9447 0
 6  MATC   116.3690    17.8284 0
 7  KHAC   241.2970   109.3430 0
 8  PARM   412.6390   220.1420 0
 9  PRM1   357.9740   197.6190 0
10  G001   112.2250  -111.8920 0
11  G002   108.9020  -108.1460 0
12  G003   105.5790  -104.4010 0
13  G004   102.2560  -100.6550 0
14  G005    98.9328   -96.9098 0
15  G006    95.6100   -93.1643 0
16  G007    92.2874   -89.4188 0
17  G008    88.9648   -85.6733 0
18  G009    85.6422   -81.9279 0
19  G010    82.3198   -78.1825 0
20  G011    78.9974   -74.4371 0
21  G012    75.6751   -70.6917 0
22  G013    72.3529   -66.9463 0
23  G014    69.0307   -63.2010 0
24  G015    65.7086   -59.4557 0
25  G016    62.3866   -55.7104 0
26  G017    59.0646   -51.9651 0
27  G018    55.7426   -48.2198 0
28  G019    52.4208   -44.4745 0
29  G020    49.0989   -40.7293 0
30  G021    45.7772   -36.9841 0
31  G022    42.4554   -33.2389 0
32  G023    39.1338   -29.4937 0
33  G024    35.8121   -25.7485 0
34  G025    32.4905   -22.0033 0
35  G026    29.1690   -18.2582 0
36  G027    25.8474   -14.5130 0
37  G028    22.5259   -10.7679 0
38  G029    19.2045    -7.0228 0
39  G030    15.8830    -3.2777 0
40  G031    12.5616     0.4674 0
41  G032     9.2403     4.2125 0
42  G033     5.9189     7.9575 0
43  G034     2.5976    11.7026 0
44  G035    -0.7238    15.4476 0
45  G036    -4.0451    19.1926 0
46  G037    -7.3663    22.9376 0
47  G038   -10.6876    26.6826 0
48  G039   -14.0089    30.4276 0
49  G040   -17.3302    34.1726 0
50  G041   -20.6514    37.9176 0
51  G042   -23.9727    41.6625 0
52  G043   -27.2940    45.4074 0
53  G044   -30.6152    49.1524 0
54  G045   -33.9365    52.8973 0
55  G046   -37.2578    56.6422 0
56  G047   -40.5791    60.3871 0
57  G048   -43.9004    64.1320 0
58  G049   -47.2217    67.8769 0
59  G050   -50.5430    71.6218 0
60  G051   -53.8644    75.3667 0
