# created in copost_inversion_constraint.m in /Users/sbarbot/Documents/work/eqcycle/matlab
# created in copost_inversion_constraint, line 603
# i   v(m/yr)     n(km)     e(km) depth length width strike   dip  rake
001  0.00e+00 -2.86e+00  2.65e+00 14.00    2.0   2.0  -37.6  90.0   1.0
002  0.00e+00 -1.28e+00  1.43e+00 14.00    2.0   2.0  -37.6  90.0   1.0
003  0.00e+00  3.09e-01  2.09e-01 14.00    2.0   2.0  -37.6  90.0   1.0
004  0.00e+00  1.89e+00 -1.01e+00 14.00    2.0   2.0  -37.6  90.0   1.0
005  0.00e+00  3.48e+00 -2.23e+00 14.00    2.0   2.0  -37.6  90.0   1.0
006  0.00e+00  5.06e+00 -3.45e+00 14.00    2.0   2.0  -37.6  90.0   1.0
007  0.00e+00  6.65e+00 -4.67e+00 14.00    2.0   2.0  -37.6  90.0   1.0
008  0.00e+00  8.23e+00 -5.89e+00 14.00    2.0   2.0  -37.6  90.0   1.0
009  0.00e+00  9.82e+00 -7.11e+00 14.00    2.0   2.0  -37.6  90.0   1.0
010  0.00e+00  1.14e+01 -8.33e+00 14.00    2.0   2.0  -37.6  90.0   1.0
011  0.00e+00  1.30e+01 -9.55e+00 14.00    2.0   2.0  -37.6  90.0   1.0
012  0.00e+00  1.46e+01 -1.08e+01 14.00    2.0   2.0  -37.6  90.0   1.0
013  0.00e+00  1.62e+01 -1.20e+01 14.00    2.0   2.0  -37.6  90.0   1.0
014  0.00e+00  1.77e+01 -1.32e+01 14.00    2.0   2.0  -37.6  90.0   1.0
015  0.00e+00  1.93e+01 -1.44e+01 14.00    2.0   2.0  -37.6  90.0   1.0
016  0.00e+00  2.09e+01 -1.57e+01 14.00    2.0   2.0  -37.6  90.0   1.0
017  0.00e+00  2.25e+01 -1.69e+01 14.00    2.0   2.0  -37.6  90.0   1.0
018  0.00e+00  2.41e+01 -1.81e+01 14.00    2.0   2.0  -37.6  90.0   1.0
019  0.00e+00  2.57e+01 -1.93e+01 14.00    2.0   2.0  -37.6  90.0   1.0
020  0.00e+00  2.72e+01 -2.05e+01 14.00    2.0   2.0  -37.6  90.0   1.0
021  0.00e+00 -2.86e+00  2.65e+00 12.00    2.0   2.0  -37.6  90.0   1.0
022  0.00e+00 -1.28e+00  1.43e+00 12.00    2.0   2.0  -37.6  90.0   1.0
023  0.00e+00  3.09e-01  2.09e-01 12.00    2.0   2.0  -37.6  90.0   1.0
024  0.00e+00  1.89e+00 -1.01e+00 12.00    2.0   2.0  -37.6  90.0   1.0
025  0.00e+00  3.48e+00 -2.23e+00 12.00    2.0   2.0  -37.6  90.0   1.0
026  0.00e+00  5.06e+00 -3.45e+00 12.00    2.0   2.0  -37.6  90.0   1.0
027  0.00e+00  6.65e+00 -4.67e+00 12.00    2.0   2.0  -37.6  90.0   1.0
028  0.00e+00  8.23e+00 -5.89e+00 12.00    2.0   2.0  -37.6  90.0   1.0
029  0.00e+00  9.82e+00 -7.11e+00 12.00    2.0   2.0  -37.6  90.0   1.0
030  0.00e+00  1.14e+01 -8.33e+00 12.00    2.0   2.0  -37.6  90.0   1.0
031  0.00e+00  1.30e+01 -9.55e+00 12.00    2.0   2.0  -37.6  90.0   1.0
032  0.00e+00  1.46e+01 -1.08e+01 12.00    2.0   2.0  -37.6  90.0   1.0
033  0.00e+00  1.62e+01 -1.20e+01 12.00    2.0   2.0  -37.6  90.0   1.0
034  0.00e+00  1.77e+01 -1.32e+01 12.00    2.0   2.0  -37.6  90.0   1.0
035  0.00e+00  1.93e+01 -1.44e+01 12.00    2.0   2.0  -37.6  90.0   1.0
036  0.00e+00  2.09e+01 -1.57e+01 12.00    2.0   2.0  -37.6  90.0   1.0
037  0.00e+00  2.25e+01 -1.69e+01 12.00    2.0   2.0  -37.6  90.0   1.0
038  0.00e+00  2.41e+01 -1.81e+01 12.00    2.0   2.0  -37.6  90.0   1.0
039  0.00e+00  2.57e+01 -1.93e+01 12.00    2.0   2.0  -37.6  90.0   1.0
040  0.00e+00  2.72e+01 -2.05e+01 12.00    2.0   2.0  -37.6  90.0   1.0
041  9.28e-02 -2.86e+00  2.65e+00 10.00    2.0   2.0  -37.6  90.0   1.0
042  1.44e-01 -1.28e+00  1.43e+00 10.00    2.0   2.0  -37.6  90.0   1.0
043  1.27e-01  3.09e-01  2.09e-01 10.00    2.0   2.0  -37.6  90.0   1.0
044  5.16e-02  1.89e+00 -1.01e+00 10.00    2.0   2.0  -37.6  90.0   1.0
045  0.00e+00  3.48e+00 -2.23e+00 10.00    2.0   2.0  -37.6  90.0   1.0
046  0.00e+00  5.06e+00 -3.45e+00 10.00    2.0   2.0  -37.6  90.0   1.0
047  0.00e+00  6.65e+00 -4.67e+00 10.00    2.0   2.0  -37.6  90.0   1.0
048  1.61e-02  8.23e+00 -5.89e+00 10.00    2.0   2.0  -37.6  90.0   1.0
049  1.69e-01  9.82e+00 -7.11e+00 10.00    2.0   2.0  -37.6  90.0   1.0
050  2.91e-01  1.14e+01 -8.33e+00 10.00    2.0   2.0  -37.6  90.0   1.0
051  2.31e-01  1.30e+01 -9.55e+00 10.00    2.0   2.0  -37.6  90.0   1.0
052  7.24e-02  1.46e+01 -1.08e+01 10.00    2.0   2.0  -37.6  90.0   1.0
053  0.00e+00  1.62e+01 -1.20e+01 10.00    2.0   2.0  -37.6  90.0   1.0
054  0.00e+00  1.77e+01 -1.32e+01 10.00    2.0   2.0  -37.6  90.0   1.0
055  0.00e+00  1.93e+01 -1.44e+01 10.00    2.0   2.0  -37.6  90.0   1.0
056  0.00e+00  2.09e+01 -1.57e+01 10.00    2.0   2.0  -37.6  90.0   1.0
057  0.00e+00  2.25e+01 -1.69e+01 10.00    2.0   2.0  -37.6  90.0   1.0
058  0.00e+00  2.41e+01 -1.81e+01 10.00    2.0   2.0  -37.6  90.0   1.0
059  0.00e+00  2.57e+01 -1.93e+01 10.00    2.0   2.0  -37.6  90.0   1.0
060  0.00e+00  2.72e+01 -2.05e+01 10.00    2.0   2.0  -37.6  90.0   1.0
061  2.01e-01 -2.86e+00  2.65e+00  8.00    2.0   2.0  -37.6  90.0   1.0
062  3.16e-01 -1.28e+00  1.43e+00  8.00    2.0   2.0  -37.6  90.0   1.0
063  3.71e-01  3.09e-01  2.09e-01  8.00    2.0   2.0  -37.6  90.0   1.0
064  3.52e-01  1.89e+00 -1.01e+00  8.00    2.0   2.0  -37.6  90.0   1.0
065  1.65e-01  3.48e+00 -2.23e+00  8.00    2.0   2.0  -37.6  90.0   1.0
066  0.00e+00  5.06e+00 -3.45e+00  8.00    2.0   2.0  -37.6  90.0   1.0
067  8.62e-02  6.65e+00 -4.67e+00  8.00    2.0   2.0  -37.6  90.0   1.0
068  4.52e-01  8.23e+00 -5.89e+00  8.00    2.0   2.0  -37.6  90.0   1.0
069  6.02e-01  9.82e+00 -7.11e+00  8.00    2.0   2.0  -37.6  90.0   1.0
070  6.52e-01  1.14e+01 -8.33e+00  8.00    2.0   2.0  -37.6  90.0   1.0
071  5.58e-01  1.30e+01 -9.55e+00  8.00    2.0   2.0  -37.6  90.0   1.0
072  1.99e-01  1.46e+01 -1.08e+01  8.00    2.0   2.0  -37.6  90.0   1.0
073  1.22e-02  1.62e+01 -1.20e+01  8.00    2.0   2.0  -37.6  90.0   1.0
074  0.00e+00  1.77e+01 -1.32e+01  8.00    2.0   2.0  -37.6  90.0   1.0
075  0.00e+00  1.93e+01 -1.44e+01  8.00    2.0   2.0  -37.6  90.0   1.0
076  0.00e+00  2.09e+01 -1.57e+01  8.00    2.0   2.0  -37.6  90.0   1.0
077  0.00e+00  2.25e+01 -1.69e+01  8.00    2.0   2.0  -37.6  90.0   1.0
078  0.00e+00  2.41e+01 -1.81e+01  8.00    2.0   2.0  -37.6  90.0   1.0
079  0.00e+00  2.57e+01 -1.93e+01  8.00    2.0   2.0  -37.6  90.0   1.0
080  0.00e+00  2.72e+01 -2.05e+01  8.00    2.0   2.0  -37.6  90.0   1.0
081  1.08e-01 -2.86e+00  2.65e+00  6.00    2.0   2.0  -37.6  90.0   1.0
082  1.40e-01 -1.28e+00  1.43e+00  6.00    2.0   2.0  -37.6  90.0   1.0
083  2.30e-01  3.09e-01  2.09e-01  6.00    2.0   2.0  -37.6  90.0   1.0
084  4.29e-01  1.89e+00 -1.01e+00  6.00    2.0   2.0  -37.6  90.0   1.0
085  4.54e-01  3.48e+00 -2.23e+00  6.00    2.0   2.0  -37.6  90.0   1.0
086  2.20e-01  5.06e+00 -3.45e+00  6.00    2.0   2.0  -37.6  90.0   1.0
087  4.11e-01  6.65e+00 -4.67e+00  6.00    2.0   2.0  -37.6  90.0   1.0
088  7.63e-01  8.23e+00 -5.89e+00  6.00    2.0   2.0  -37.6  90.0   1.0
089  6.17e-01  9.82e+00 -7.11e+00  6.00    2.0   2.0  -37.6  90.0   1.0
090  6.79e-01  1.14e+01 -8.33e+00  6.00    2.0   2.0  -37.6  90.0   1.0
091  6.35e-01  1.30e+01 -9.55e+00  6.00    2.0   2.0  -37.6  90.0   1.0
092  2.12e-01  1.46e+01 -1.08e+01  6.00    2.0   2.0  -37.6  90.0   1.0
093  5.84e-02  1.62e+01 -1.20e+01  6.00    2.0   2.0  -37.6  90.0   1.0
094  2.07e-02  1.77e+01 -1.32e+01  6.00    2.0   2.0  -37.6  90.0   1.0
095  1.79e-02  1.93e+01 -1.44e+01  6.00    2.0   2.0  -37.6  90.0   1.0
096  1.09e-03  2.09e+01 -1.57e+01  6.00    2.0   2.0  -37.6  90.0   1.0
097  0.00e+00  2.25e+01 -1.69e+01  6.00    2.0   2.0  -37.6  90.0   1.0
098  0.00e+00  2.41e+01 -1.81e+01  6.00    2.0   2.0  -37.6  90.0   1.0
099  0.00e+00  2.57e+01 -1.93e+01  6.00    2.0   2.0  -37.6  90.0   1.0
100  0.00e+00  2.72e+01 -2.05e+01  6.00    2.0   2.0  -37.6  90.0   1.0
101  0.00e+00 -2.86e+00  2.65e+00  4.00    2.0   2.0  -37.6  90.0   1.0
102  0.00e+00 -1.28e+00  1.43e+00  4.00    2.0   2.0  -37.6  90.0   1.0
103  9.35e-02  3.09e-01  2.09e-01  4.00    2.0   2.0  -37.6  90.0   1.0
104  4.22e-01  1.89e+00 -1.01e+00  4.00    2.0   2.0  -37.6  90.0   1.0
105  4.73e-01  3.48e+00 -2.23e+00  4.00    2.0   2.0  -37.6  90.0   1.0
106  7.70e-02  5.06e+00 -3.45e+00  4.00    2.0   2.0  -37.6  90.0   1.0
107  3.53e-01  6.65e+00 -4.67e+00  4.00    2.0   2.0  -37.6  90.0   1.0
108  5.38e-01  8.23e+00 -5.89e+00  4.00    2.0   2.0  -37.6  90.0   1.0
109  1.00e-01  9.82e+00 -7.11e+00  4.00    2.0   2.0  -37.6  90.0   1.0
110  5.99e-02  1.14e+01 -8.33e+00  4.00    2.0   2.0  -37.6  90.0   1.0
111  1.70e-01  1.30e+01 -9.55e+00  4.00    2.0   2.0  -37.6  90.0   1.0
112  7.58e-02  1.46e+01 -1.08e+01  4.00    2.0   2.0  -37.6  90.0   1.0
113  6.96e-02  1.62e+01 -1.20e+01  4.00    2.0   2.0  -37.6  90.0   1.0
114  8.58e-02  1.77e+01 -1.32e+01  4.00    2.0   2.0  -37.6  90.0   1.0
115  5.86e-02  1.93e+01 -1.44e+01  4.00    2.0   2.0  -37.6  90.0   1.0
116  4.66e-03  2.09e+01 -1.57e+01  4.00    2.0   2.0  -37.6  90.0   1.0
117  0.00e+00  2.25e+01 -1.69e+01  4.00    2.0   2.0  -37.6  90.0   1.0
118  0.00e+00  2.41e+01 -1.81e+01  4.00    2.0   2.0  -37.6  90.0   1.0
119  0.00e+00  2.57e+01 -1.93e+01  4.00    2.0   2.0  -37.6  90.0   1.0
120  0.00e+00  2.72e+01 -2.05e+01  4.00    2.0   2.0  -37.6  90.0   1.0
121  0.00e+00 -2.86e+00  2.65e+00  2.00    2.0   2.0  -37.6  90.0   1.0
122  0.00e+00 -1.28e+00  1.43e+00  2.00    2.0   2.0  -37.6  90.0   1.0
123  3.74e-02  3.09e-01  2.09e-01  2.00    2.0   2.0  -37.6  90.0   1.0
124  5.73e-01  1.89e+00 -1.01e+00  2.00    2.0   2.0  -37.6  90.0   1.0
125  9.85e-02  3.48e+00 -2.23e+00  2.00    2.0   2.0  -37.6  90.0   1.0
126  0.00e+00  5.06e+00 -3.45e+00  2.00    2.0   2.0  -37.6  90.0   1.0
127  7.88e-02  6.65e+00 -4.67e+00  2.00    2.0   2.0  -37.6  90.0   1.0
128  1.56e-01  8.23e+00 -5.89e+00  2.00    2.0   2.0  -37.6  90.0   1.0
129  0.00e+00  9.82e+00 -7.11e+00  2.00    2.0   2.0  -37.6  90.0   1.0
130  0.00e+00  1.14e+01 -8.33e+00  2.00    2.0   2.0  -37.6  90.0   1.0
131  3.34e-01  1.30e+01 -9.55e+00  2.00    2.0   2.0  -37.6  90.0   1.0
132  9.53e-02  1.46e+01 -1.08e+01  2.00    2.0   2.0  -37.6  90.0   1.0
133  1.78e-01  1.62e+01 -1.20e+01  2.00    2.0   2.0  -37.6  90.0   1.0
134  1.38e-01  1.77e+01 -1.32e+01  2.00    2.0   2.0  -37.6  90.0   1.0
