# created in copost_inversion_constraint.m in /Users/sbarbot/Documents/work/eqcycle/matlab
# created in copost_inversion_constraint, line 602
# i   v(m/yr)     n(km)     e(km) depth length width strike   dip  rake
064  1.84e-02  1.89e+00 -1.01e+00 11.00    2.0   1.0  -37.6  90.0   1.0
065  0.00e+00  3.48e+00 -2.23e+00 11.00    2.0   1.0  -37.6  90.0   1.0
066  0.00e+00  5.06e+00 -3.45e+00 11.00    2.0   1.0  -37.6  90.0   1.0
067  0.00e+00  6.65e+00 -4.67e+00 11.00    2.0   1.0  -37.6  90.0   1.0
068  1.22e-02  8.23e+00 -5.89e+00 11.00    2.0   1.0  -37.6  90.0   1.0
069  1.10e-01  9.82e+00 -7.11e+00 11.00    2.0   1.0  -37.6  90.0   1.0
070  2.08e-01  1.14e+01 -8.33e+00 11.00    2.0   1.0  -37.6  90.0   1.0
071  2.16e-01  1.30e+01 -9.55e+00 11.00    2.0   1.0  -37.6  90.0   1.0
072  1.35e-01  1.46e+01 -1.08e+01 11.00    2.0   1.0  -37.6  90.0   1.0
073  4.07e-02  1.62e+01 -1.20e+01 11.00    2.0   1.0  -37.6  90.0   1.0
074  0.00e+00  1.77e+01 -1.32e+01 11.00    2.0   1.0  -37.6  90.0   1.0
075  0.00e+00  1.93e+01 -1.44e+01 11.00    2.0   1.0  -37.6  90.0   1.0
076  0.00e+00  2.09e+01 -1.57e+01 11.00    2.0   1.0  -37.6  90.0   1.0
077  0.00e+00  2.25e+01 -1.69e+01 11.00    2.0   1.0  -37.6  90.0   1.0
078  0.00e+00  2.41e+01 -1.81e+01 11.00    2.0   1.0  -37.6  90.0   1.0
079  0.00e+00  2.57e+01 -1.93e+01 11.00    2.0   1.0  -37.6  90.0   1.0
080  0.00e+00  2.72e+01 -2.05e+01 11.00    2.0   1.0  -37.6  90.0   1.0
081  6.54e-02 -2.86e+00  2.65e+00 10.00    2.0   1.0  -37.6  90.0   1.0
082  1.18e-01 -1.28e+00  1.43e+00 10.00    2.0   1.0  -37.6  90.0   1.0
083  1.24e-01  3.09e-01  2.09e-01 10.00    2.0   1.0  -37.6  90.0   1.0
084  8.96e-02  1.89e+00 -1.01e+00 10.00    2.0   1.0  -37.6  90.0   1.0
085  3.12e-02  3.48e+00 -2.23e+00 10.00    2.0   1.0  -37.6  90.0   1.0
086  0.00e+00  5.06e+00 -3.45e+00 10.00    2.0   1.0  -37.6  90.0   1.0
087  0.00e+00  6.65e+00 -4.67e+00 10.00    2.0   1.0  -37.6  90.0   1.0
088  8.41e-02  8.23e+00 -5.89e+00 10.00    2.0   1.0  -37.6  90.0   1.0
089  2.48e-01  9.82e+00 -7.11e+00 10.00    2.0   1.0  -37.6  90.0   1.0
090  3.72e-01  1.14e+01 -8.33e+00 10.00    2.0   1.0  -37.6  90.0   1.0
091  3.63e-01  1.30e+01 -9.55e+00 10.00    2.0   1.0  -37.6  90.0   1.0
092  2.32e-01  1.46e+01 -1.08e+01 10.00    2.0   1.0  -37.6  90.0   1.0
093  8.41e-02  1.62e+01 -1.20e+01 10.00    2.0   1.0  -37.6  90.0   1.0
094  9.76e-04  1.77e+01 -1.32e+01 10.00    2.0   1.0  -37.6  90.0   1.0
095  0.00e+00  1.93e+01 -1.44e+01 10.00    2.0   1.0  -37.6  90.0   1.0
096  0.00e+00  2.09e+01 -1.57e+01 10.00    2.0   1.0  -37.6  90.0   1.0
097  0.00e+00  2.25e+01 -1.69e+01 10.00    2.0   1.0  -37.6  90.0   1.0
098  0.00e+00  2.41e+01 -1.81e+01 10.00    2.0   1.0  -37.6  90.0   1.0
099  0.00e+00  2.57e+01 -1.93e+01 10.00    2.0   1.0  -37.6  90.0   1.0
100  0.00e+00  2.72e+01 -2.05e+01 10.00    2.0   1.0  -37.6  90.0   1.0
101  1.09e-01 -2.86e+00  2.65e+00  9.00    2.0   1.0  -37.6  90.0   1.0
102  1.81e-01 -1.28e+00  1.43e+00  9.00    2.0   1.0  -37.6  90.0   1.0
103  2.17e-01  3.09e-01  2.09e-01  9.00    2.0   1.0  -37.6  90.0   1.0
