# created in copost_inversion_constraint.m in /Users/sbarbot/Documents/work/eqcycle/matlab
# created in copost_inversion_constraint, line 602
# i   v(m/yr)     n(km)     e(km) depth length width strike   dip  rake
271  2.38e-01  1.30e+01 -9.55e+00  1.00    2.0   1.0  -37.6  90.0   1.0
272  1.48e-01  1.46e+01 -1.08e+01  1.00    2.0   1.0  -37.6  90.0   1.0
273  9.22e-02  1.62e+01 -1.20e+01  1.00    2.0   1.0  -37.6  90.0   1.0
274  7.54e-02  1.77e+01 -1.32e+01  1.00    2.0   1.0  -37.6  90.0   1.0
275  2.37e-02  1.93e+01 -1.44e+01  1.00    2.0   1.0  -37.6  90.0   1.0
276  3.02e-03  2.09e+01 -1.57e+01  1.00    2.0   1.0  -37.6  90.0   1.0
277  2.64e-04  2.25e+01 -1.69e+01  1.00    2.0   1.0  -37.6  90.0   1.0
278  1.39e-03  2.41e+01 -1.81e+01  1.00    2.0   1.0  -37.6  90.0   1.0
279  0.00e+00  2.57e+01 -1.93e+01  1.00    2.0   1.0  -37.6  90.0   1.0
280  0.00e+00  2.72e+01 -2.05e+01  1.00    2.0   1.0  -37.6  90.0   1.0
281  4.61e-02 -2.86e+00  2.65e+00  0.00    2.0   1.0  -37.6  90.0   1.0
282  0.00e+00 -1.28e+00  1.43e+00  0.00    2.0   1.0  -37.6  90.0   1.0
283  0.00e+00  3.09e-01  2.09e-01  0.00    2.0   1.0  -37.6  90.0   1.0
284  0.00e+00  1.89e+00 -1.01e+00  0.00    2.0   1.0  -37.6  90.0   1.0
285  0.00e+00  3.48e+00 -2.23e+00  0.00    2.0   1.0  -37.6  90.0   1.0
286  0.00e+00  5.06e+00 -3.45e+00  0.00    2.0   1.0  -37.6  90.0   1.0
287  1.03e-01  6.65e+00 -4.67e+00  0.00    2.0   1.0  -37.6  90.0   1.0
288  5.07e-02  8.23e+00 -5.89e+00  0.00    2.0   1.0  -37.6  90.0   1.0
289  1.04e-01  9.82e+00 -7.11e+00  0.00    2.0   1.0  -37.6  90.0   1.0
290  5.98e-02  1.14e+01 -8.33e+00  0.00    2.0   1.0  -37.6  90.0   1.0
291  1.83e-01  1.30e+01 -9.55e+00  0.00    2.0   1.0  -37.6  90.0   1.0
292  7.90e-02  1.46e+01 -1.08e+01  0.00    2.0   1.0  -37.6  90.0   1.0
293  0.00e+00  1.62e+01 -1.20e+01  0.00    2.0   1.0  -37.6  90.0   1.0
294  0.00e+00  1.77e+01 -1.32e+01  0.00    2.0   1.0  -37.6  90.0   1.0
295  0.00e+00  1.93e+01 -1.44e+01  0.00    2.0   1.0  -37.6  90.0   1.0
296  0.00e+00  2.09e+01 -1.57e+01  0.00    2.0   1.0  -37.6  90.0   1.0
297  0.00e+00  2.25e+01 -1.69e+01  0.00    2.0   1.0  -37.6  90.0   1.0
298  0.00e+00  2.41e+01 -1.81e+01  0.00    2.0   1.0  -37.6  90.0   1.0
299  0.00e+00  2.57e+01 -1.93e+01  0.00    2.0   1.0  -37.6  90.0   1.0
300  0.00e+00  2.72e+01 -2.05e+01  0.00    2.0   1.0  -37.6  90.0   1.0
