# nb. dgammadot0 x1 x2 x3 length width thickness strike dip
121 0.4 -80 -200 10 20 13.4942 20 0 90
122 0.4 -80 -180 10 20 15.2562 20 0 90
123 0.4 -80 -160 10 20 17.0155 20 0 90
124 0.4 -80 -140 10 20 18.5385 20 0 90
125 0.4 -80 -120 10 20 19.5568 20 0 90
126 0.4 -80 -100 10 20 19.8691 20 0 90
127 0.4 -80 -80 10 20 19.3887 20 0 90
128 0.4 -80 -60 10 20 18.1461 20 0 90
129 0.4 -80 -40 10 20 16.7556 20 0 90
130 0.4 -80 -20 10 20 15.3377 20 0 90
131 0.4 -80 0 10 20 13.6637 20 0 90
132 0.4 -80 20 10 20 11.7386 20 0 90
133 0.4 -80 40 10 20 10.2428 20 0 90
134 0.4 -80 60 10 20 9.85189 20 0 90
135 0.4 -80 80 10 20 10.2353 20 0 90
136 0.4 -80 100 10 20 11.0283 20 0 90
137 0.4 -80 120 10 20 11.9752 20 0 90
138 0.4 -80 140 10 20 12.7947 20 0 90
139 0.4 -80 160 10 20 13.4062 20 0 90
140 0.4 -80 180 10 20 13.952 20 0 90
141 0.4 -60 -200 10 20 14.4757 20 0 90
142 0.4 -60 -180 10 20 16.2669 20 0 90
143 0.4 -60 -160 10 20 18.0409 20 0 90
144 0.4 -60 -140 10 20 19.4927 20 0 90
145 0.4 -60 -120 10 20 20.4749 20 0 90
146 0.4 -60 -100 10 20 20.7728 20 0 90
147 0.4 -60 -80 10 20 20.1935 20 0 90
148 0.4 -60 -60 10 20 18.7657 20 0 90
149 0.4 -60 -40 10 20 17.0237 20 0 90
150 0.4 -60 -20 10 20 15.5264 20 0 90
151 0.4 -60 0 10 20 14.0364 20 0 90
152 0.4 -60 20 10 20 12.4104 20 0 90
153 0.4 -60 40 10 20 11.1697 20 0 90
154 0.4 -60 60 10 20 10.7952 20 0 90
155 0.4 -60 80 10 20 10.9701 20 0 90
156 0.4 -60 100 10 20 11.5846 20 0 90
157 0.4 -60 120 10 20 12.4307 20 0 90
158 0.4 -60 140 10 20 13.2533 20 0 90
159 0.4 -60 160 10 20 13.8925 20 0 90
160 0.4 -60 180 10 20 14.3217 20 0 90
161 0.4 -40 -200 10 20 15.3246 20 0 90
162 0.4 -40 -180 10 20 17.1006 20 0 90
163 0.4 -40 -160 10 20 18.8375 20 0 90
164 0.4 -40 -140 10 20 20.2419 20 0 90
165 0.4 -40 -120 10 20 21.3078 20 0 90
166 0.4 -40 -100 10 20 21.7914 20 0 90
167 0.4 -40 -80 10 20 21.234 20 0 90
168 0.4 -40 -60 10 20 19.5714 20 0 90
169 0.4 -40 -40 10 20 17.4814 20 0 90
170 0.4 -40 -20 10 20 15.7355 20 0 90
171 0.4 -40 0 10 20 14.3071 20 0 90
172 0.4 -40 20 10 20 13.0754 20 0 90
173 0.4 -40 40 10 20 12.2 20 0 90
174 0.4 -40 60 10 20 11.8808 20 0 90
175 0.4 -40 80 10 20 11.9962 20 0 90
176 0.4 -40 100 10 20 12.4146 20 0 90
177 0.4 -40 120 10 20 13.041 20 0 90
178 0.4 -40 140 10 20 13.6781 20 0 90
179 0.4 -40 160 10 20 14.1919 20 0 90
180 0.4 -40 180 10 20 14.613 20 0 90
181 0.4 -20 -200 10 20 16.0161 20 0 90
