SITE    LON      LAT       de(cm) dn(cm)  se(cm)  sn(cm)    source
INYO  -117.8117 35.6475    -0.60  -1.60     2.40   1.00 HudnetEtAl,1994
JURU  -117.4430 34.0320     1.30   0.80     1.80   1.10 HudnetEtAl,1994
L290  -117.3286 35.9781     3.20  -1.00     2.00   2.40 HudnetEtAl,1994
LAST  -117.3092 33.8372    -0.50   3.40     0.80   0.90 HudnetEtAl,1994
LAZY  -116.5139 34.3439   -10.30 169.70     0.30   0.30 HudnetEtAl,1994
LIMP  -117.5489 33.9752     1.20   7.80     2.00   2.40 HudnetEtAl,1994
LUCS  -118.8819 34.4394   -25.10  -0.20     1.00   1.20 HudnetEtAl,1994
MATH  -117.4367 33.8566    -1.20   2.30     0.80   0.90 HudnetEtAl,1994
MAUM  -116.4580 34.4190    57.60 -166.70     0.50   0.50 HudnetEtAl,1994
MDAY  -117.7058 34.7429    -2.60   0.10     1.50   1.80 HudnetEtAl,1994
MEEK  -116.6170 34.2580    23.90  65.60     0.70   0.60 HudnetEtAl,1994
MILL  -117.0106 34.0907     5.80   5.70     2.10   2.40 HudnetEtAl,1994
MILU  -117.2920 34.2810    -4.30   0.40     1.90   1.00 HudnetEtAl,1994
NIGU  -117.7303 33.5145    -1.30   2.00     0.80   1.00 HudnetEtAl,1994
OCOT  -115.7961 32.7900    -2.30  -0.30     0.90   0.90 HudnetEtAl,1994
ONYX  -116.7100 34.1930    23.50  33.90     5.20   2.30 HudnetEtAl,1994
PARK  -116.3003 35.8669     1.20  -2.30     3.40   4.20 HudnetEtAl,1994
PAVE  -114.7468 33.4504     2.10  -3.40     2.10   2.50 HudnetEtAl,1994
PEAR  -117.9224 34.5121    -2.10  -0.90     0.80   0.90 HudnetEtAl,1994
PINY  -116.4588 33.6092    -1.30   5.10     1.00   1.20 HudnetEtAl,1994
POIN  -117.0680 34.4540   -14.00  -0.20     0.70   0.90 HudnetEtAl,1994
PORT  -118.1569 35.0872     1.60  -1.30     1.50   1.80 HudnetEtAl,1994
PVER  -118.4035 33.7438    -3.80   1.50     0.50   0.60 HudnetEtAl,1994
PESO  -116.3920 33.6880     3.10   4.60     2.00   0.70 HudnetEtAl,1994
ROCH  -116.6100 33.6080     3.20   5.60     0.50   0.20 HudnetEtAl,1994
ROD2  -114.8280 35.1130     2.10  -3.80     2.70   3.30 HudnetEtAl,1994
ROSA  -117.1889 33.5052    -1.70   6.60     0.90   1.20 HudnetEtAl,1994
ROUN  -118.4769 35.6417     6.80  -1.40     2.40  27.00 HudnetEtAl,1994
SAND  -116.2786 34.2550    41.10 -30.90     0.50   0.40 HudnetEtAl,1994
SANO  -117.5130 34.0182     3.50   2.20     1.50   1.50 HudnetEtAl,1994
SOAP  -116.9810 34.9040    -6.50   2.70     0.80   0.70 HudnetEtAl,1994
STIM  -117.2418 34.5431    -4.00   4.50     1.30   1.50 HudnetEtAl,1994
THOU  -116.2717 33.8893    11.70 -13.50     5.40   5.70 HudnetEtAl,1994
TOM2  -116.6337 33.9249     5.00  19.70     0.80   0.90 HudnetEtAl,1994
VIEW  -116.1880 33.9260     7.00  -9.50     0.40   0.40 HudnetEtAl,1994
WIDE  -116.4063 33.9314     4.30   8.90     0.30   0.30 HudnetEtAl,1994
